name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-52.2368,0.398425,7.1225,-64.5209,-51.6271,-41.5111,319.574,264.27299999999997,1.00909
beta,0.9347120000000001,0.00593398,0.262395,0.499337,0.935635,1.35265,1955.33,1616.97,1.0005700000000002
alpha[1],0.965873,0.0139489,0.7063520000000001,-0.21874899999999997,0.9813209999999999,2.1108,2564.27,2120.53,1.00147
alpha[2],0.321157,0.0102803,0.6234390000000001,-0.696489,0.322999,1.33776,3677.68,3041.27,0.9994219999999999
alpha[3],0.39755100000000004,0.0104276,0.646571,-0.683075,0.39398299999999997,1.44989,3844.74,3179.42,1.00042
alpha[4],-0.200249,0.0100587,0.65755,-1.2637399999999999,-0.203731,0.8803280000000001,4273.38,3533.89,1.0004
alpha[5],0.45023100000000005,0.010107799999999998,0.652992,-0.630156,0.453977,1.4816799999999999,4173.51,3451.3,1.0007
alpha[6],0.552817,0.012407600000000001,0.695868,-0.664287,0.5888909999999999,1.6211200000000001,3145.41,2601.11,1.00213
alpha[7],-0.752711,0.013107800000000001,0.737689,-2.01689,-0.724291,0.40437199999999995,3167.3,2619.21,1.0001200000000001
alpha[8],-0.185461,0.0102174,0.665952,-1.25801,-0.168164,0.893782,4248.24,3513.1,0.999502
alpha[9],-0.0346796,0.00952952,0.652275,-1.09659,-0.038360000000000005,1.0490899999999999,4685.1,3874.36,1.0008
alpha[10],0.581497,0.010387799999999999,0.641642,-0.45001,0.59765,1.61843,3815.35,3155.12,0.999609
alpha[11],0.07216180000000001,0.00936976,0.636411,-0.994092,0.07252339999999999,1.08243,4613.37,3815.04,0.999451
alpha[12],-0.77432,0.011155,0.73356,-2.00398,-0.777953,0.44118999999999997,4324.45,3576.12,0.999865
alpha[13],-0.0146679,0.00998821,0.6294850000000001,-1.02237,-0.0298029,1.02747,3971.88,3284.56,0.9996950000000001
alpha[14],-0.349589,0.010934000000000001,0.651691,-1.43002,-0.351526,0.702959,3552.44,2937.7,0.999649
alpha[15],-1.31665,0.016362,0.79298,-2.53409,-1.36947,0.053814,2348.84,1942.38,0.9999680000000001
alpha[16],0.945156,0.010441299999999999,0.669037,-0.144697,0.950907,2.03985,4105.76,3395.27,1.00039
alpha[17],-0.278329,0.010955,0.683947,-1.37774,-0.289623,0.87126,3897.78,3223.28,0.9994120000000001
alpha[18],0.166499,0.010801700000000001,0.6914600000000001,-0.919167,0.159135,1.3156299999999999,4097.76,3388.66,0.999682
alpha[19],-0.5734130000000001,0.0118938,0.738133,-1.7459799999999999,-0.603213,0.639279,3851.48,3185.0,1.00034
alpha[20],-1.20631,0.0152536,0.7809,-2.4474099999999996,-1.23314,0.108145,2620.86,2167.33,1.00061
alpha[21],0.579443,0.0132464,0.748165,-0.677888,0.6110939999999999,1.78037,3190.08,2638.05,1.00051
alpha[22],-1.16757,0.012930200000000003,0.779623,-2.42082,-1.18238,0.11360999999999999,3635.43,3006.33,1.0003
alpha[23],0.43113900000000005,0.011517399999999999,0.716282,-0.757672,0.41518999999999995,1.6046,3867.74,3198.44,0.9998450000000001
alpha[24],1.24967,0.0173706,0.825973,-0.087466,1.28065,2.5629299999999997,2261.02,1869.76,1.0008
sigma_a,0.942166,0.013666399999999999,0.318048,0.41028100000000006,0.935366,1.46509,541.599,447.87699999999995,1.0040799999999999
sigma_y,1.2192399999999999,0.00927665,0.230884,0.89423,1.19282,1.6392799999999998,619.4490000000001,512.255,1.00453
ability[1],2.01383,0.014544899999999998,0.6431899999999999,0.980137,1.99775,3.09842,1955.5,1617.11,1.00163
ability[2],1.27625,0.00876581,0.54001,0.40127399999999996,1.26436,2.16476,3795.06,3138.34,1.00039
